6 10 26 
27 22 21 
21 27 22 20 
3 22 26 
20 22 29 
3 22 21 29 
15 4 21 
26 22 10 
6 29 21 
6 21 27 
15 4 29 
29 15 7 
15 7 29 
21 6 22 27 1 28 29 7 5 10 23 4 15 
7 15 4 21 
15 4 7 
20 26 10 
29 21 5 
29 21 27 22 
22 27 15 
15 20 22 7 27 21 26 
16 2 13 
27 21 22 28 6 29 15 20 
15 10 22 
15 21 22 
24 18 14 
21 7 29 6 27 22 20 15 
6 29 7 
21 1 7 20 27 
22 21 15 
20 22 23 
6 22 1 
21 27 22 
21 5 24 
22 27 15 23 4 7 29 
12 15 28 
21 29 6 1 7 15 20 
6 15 4 7 
3 28 5 21 
6 22 27 20 29 
6 29 22 
20 6 1 
6 21 22 
22 20 21 6 27 
6 27 22 
20 22 21 
27 20 29 
29 20 5 
29 27 22 6 
27 22 20 
21 20 29 
6 27 29 
6 29 20 22 21 
6 22 20 27 
27 22 20 10 21 
27 22 20 
29 21 6 
6 29 20 22 27 
7 29 27 22 
29 6 27 22 
22 27 29 
22 27 21 
6 22 27 29 
22 21 27 
22 15 29 
1 29 6 
7 29 6 
27 3 20 
6 22 20 
6 21 29 
20 22 29 
22 20 27 29 
7 29 15 
21 22 29 
6 22 27 29 20 21 10 
28 22 20 
29 6 20 
20 6 29 
28 26 20 
6 20 27 22 
20 22 27 
29 27 22 
29 6 20 
27 20 3 
6 21 22 28 
23 6 27 
23 6 22 27 
22 21 6 
24 22 28 
15 7 29 6 
6 7 15 
15 5 29 7 
10 12 29 
4 29 21 
6 29 15 27 
15 10 12 
10 21 22 20 
9 20 27 21 
22 21 27 
1 7 23 
5 10 25 
28 7 22 
15 16 18 
29 23 24 10 
24 15 23 
20 12 7 23 
20 22 29 27 
7 15 4 
22 6 29 15 7 4 
22 21 27 1 
10 26 5 
15 29 27 20 
27 21 1 6 
7 4 15 
21 29 7 
27 21 22 
15 7 27 21 22 20 
7 15 1 
15 23 12 
14 18 1 
29 26 20 
20 27 29 
29 22 27 
15 22 27 21 
28 29 15 
5 24 22 
7 4 15 
15 7 29 6 
20 22 21 27 
27 6 29 21 26 
27 21 20 
6 1 15 
23 7 29 
22 21 24 
27 6 26 
27 21 24 
19 5 24 10 29 23 
29 15 7 20 
21 28 10 
18 6 22 20 
21 7 29 
6 26 29 
21 27 22 
22 20 21 
21 28 1 
7 15 4 1 28 
29 23 4 
20 22 21 
2 16 13 
7 15 6 
16 2 13 
16 13 26 10 
10 28 5 22 21 
7 15 12 
6 29 21 20 22 
6 27 28 
29 21 27 28 15 
21 10 6 
21 27 5 
22 10 20 
5 20 22 27 21 
21 27 20 29 1 7 15 
6 21 5 
29 6 15 4 
23 15 29 5 20 
22 20 21 
22 12 20 1 21 
20 15 21 
6 29 4 15 7 27 21 
15 29 21 5 
10 26 22 
20 5 6 1 
1 29 6 
23 27 21 20 
22 27 20 
20 27 21 15 
23 7 15 
21 24 5 
6 29 15 
2 13 16 
21 27 22 20 
21 27 20 
20 22 21 27 
29 7 6 
24 1 6 
22 27 21 
22 27 20 
10 28 6 
20 5 24 
27 15 4 
23 29 6 
20 22 27 21 6 
6 20 22 
27 21 22 
5 15 4 
15 4 29 20 
5 21 27 
20 6 29 15 4 
27 21 5 
22 27 3 
22 26 20 
22 20 27 
21 4 15 23 6 5 29 
29 15 6 
27 24 20 
28 5 21 27 20 
7 4 15 
21 7 3 
7 18 21 
7 15 21 
15 4 24 
20 22 21 
15 6 27 
26 10 29 
29 22 20 21 
20 29 7 15 4 
20 21 4 15 24 10 
6 29 5 
24 6 29 
7 15 1 
20 7 21 27 22 3 
27 22 21 
7 21 27 15 6 
29 23 21 
29 6 22 20 
4 9 1 
22 29 15 
21 27 4 
12 4 15 
7 23 29 
5 20 21 
21 15 4 
6 10 24 
21 27 22 20 
27 4 15 
2 16 13 
22 21 28 
4 15 7 
6 21 29 15 
21 22 27 
21 28 15 
15 4 21 27 
15 7 4 
4 15 7 
21 20 29 
10 22 3 29 6 15 4 1 2 
28 20 3 29 
26 28 22 
15 29 27 21 28 
23 15 7 
15 7 29 10 24 
20 5 21 27 
26 10 7 
22 27 21 24 4 20 
20 5 22 
20 23 29 
24 5 21 20 27 
21 27 20 
22 21 20 
21 28 10 
20 22 5 24 26 
