19 15 20 2
12 20 2
2 20 15
2 9 20 24
26 2 12
10 24 23 19 26
2 15 1 11 20 13
8 9 14
11 19 15 20 1
18 10 26
11 1 15 20 2
26 10 15
1 2 20
12 2 20 15
8 24 2
1 15 2
2 8 9 20
15 20 24
16 24 25
14 23 24
1 20 2
24 18 2
12 2 19
20 2 10
20 2 6 12 26 10 11 15
1 10 24 23 27 26 11
23 9 11
10 11 24
26 11 19
19 2 11
2 12 10
20 4 2
2 15 1
2 24 19
20 2 15
20 15 2
2 12 21
1 15 2
15 13 12
1 20 15 5
12 19 26
1 15 26
1 26 19 8
27 26 11
9 23 24
14 9 24 23
9 14 23
2 20 15 1
23 9 8 2
14 9 18
20 15 1 24 8 9 14
27 15 2
9 8 24
24 12 19
10 1 15 8
15 2 20
1 20 2
24 9 8
12 26 2 24
1 2 19
2 12 8 15 20
2 19 24
10 11 26
12 26 11
10 26 19 2
2 20 15 12 9
15 2 20
11 19 2
19 26 11 15 1
8 9 14
8 9 1
1 15 2 24 5
9 14 10 15 20
2 26 11
20 2 18 19
2 15 20 26
15 7 11
12 1 10
18 23 24
7 20 15
14 20 11
19 15 2
19 2 15
20 15 19 10
10 19 9
1 15 12
1 15 19
19 2 20 15
20 15 11 19 2
1 15 10
1 20 2
24 9 19
12 2 26
2 20 12
20 15 2
15 20 19
15 20 19
2 15 1 20
9 11 2
9 8 24 14
2 9 12
2 15 20
24 8 9 1 2
20 15 25 10 12 2
15 19 27 1
14 9 8
15 20 2
25 16 24
2 20 1 12
15 20 1
24 10 26
12 2 20
